alias_id,source_scope,raw_chain_name,chain_network_id,namespace_id,address_codec_id,address_type,asset_hint,token_standard_hint,status,evidence_ref,source_id,approved_by,approved_at,approval_notes
75,cex_por_workbook:KuCoin,BSC,7,9,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=BSC&rows=16,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
76,cex_por_workbook:KuCoin,Ethereum,2,4,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Ethereum&rows=38,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
77,cex_por_workbook:KuCoin,Hyperliquid,80,83,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Hyperliquid&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
78,cex_por_workbook:KuCoin,Kava EVM,61,64,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Kava%20EVM&rows=4,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
79,cex_por_workbook:KuCoin,KCC,62,65,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=KCC&rows=7,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
80,cex_por_workbook:KuCoin,Linea,19,17,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Linea&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
81,cex_por_workbook:KuCoin,Manta,63,66,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Manta&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
82,cex_por_workbook:KuCoin,Merlin,64,67,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Merlin&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
83,cex_por_workbook:KuCoin,Monad,82,85,1,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=Monad&rows=5,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
84,cex_por_workbook:KuCoin,NEAR,39,37,60,wallet_address,,,approved,sha256:c19fe777e29dd0d6434d7e9f08aa36fca0d1e89ed89c293accd55b4f8b987594#sheet=KuCoin&distinct_chain=NEAR&rows=3,13,catalog_review,2026-07-17,Canonical network/namespace mapping reviewed
